latitude,longitude,free_bikes
43.665269,-79.319796,17
43.67142,-79.445947,1
43.666224,-79.317693,7
43.653236,-79.376716,3
43.663722,-79.380288,21
43.657763,-79.389165,8
43.656729,-79.382736,9
43.664467,-79.414783,2
43.675492,-79.388858,0
43.674991,-79.396273,0
43.671944,-79.387778,0
43.662365,-79.351104,14
43.646144,-79.377962,9
43.663993,-79.358534,2
43.657266,-79.374756,17
43.6672144,-79.3452697,11
43.673939,-79.441159,6
43.657991,-79.340075,6
43.66745,-79.329408,17
43.672453,-79.338259,12
43.6592088,-79.3348396,9
43.689211,-79.35438,1
43.656927,-79.378497,7
43.658295,-79.372346,11
43.6940155,-79.2889842,3
43.6809164,-79.4229684,6
43.6910667,-79.39535,1
43.6975969,-79.39654,1
43.639832,-79.395954,23
43.667333,-79.399429,0
43.6480008,-79.383177,19
43.656518,-79.389099,2
43.687999,-79.38906,1
43.6563889,-79.45166666666667,0
43.639179,-79.399595,3
43.6616667,-79.40138888888889,6
43.66666667,-79.45833333333334,3
43.657192,-79.452559,0
43.6576,-79.4032,6
43.660694,-79.379052,9
43.636533,-79.395854,12
43.659777,-79.382767,2
43.643667,-79.380414,3
43.666233,-79.373327,16
43.640114,-79.393249,18
43.653766,-79.4016759,3
43.6538888888889,-79.4413888888889,2
43.6508333333333,-79.4430555555556,0
43.651238,-79.43868,3
43.6544915,-79.422634,10
43.6543604,-79.4655296,0
43.635932,-79.465083,15
43.654501,-79.460053,3
43.634896,-79.467763,15
43.6314,-79.4304,14
43.636731,-79.444966,12
43.6534268,-79.4512787,1
43.7112153,-79.39894,0
43.655227,-79.39201,2
43.685167,-79.34962,1
43.6704537,-79.39014,1
43.6691099,-79.38551,1
43.641389,-79.404444,8
43.643834,-79.396649,8
43.6545174,-79.3895315,13
43.665846,-79.404998,0
43.6461,-79.3895,8
43.671349,-79.29451,8
43.667208,-79.312315,8
43.669328,-79.288949,17
43.672571,-79.289,12
43.638497,-79.39192,18
43.662771,-79.315223,0
43.66852,-79.363525,2
43.652473,-79.401456,13
43.643975,-79.419576,20
43.651318,-79.36023,17
43.656094,-79.381484,15
43.670318,-79.405181,0
43.676667,-79.416111,0
43.640634,-79.435841,16
43.639444,-79.423611,15
43.67,-79.42083333333333,0
43.671389,-79.416389,1
43.68,-79.42500000000001,6
43.6394444,-79.42527777777778,8
43.675791,-79.40698,8
43.675556,-79.410278,5
43.674444,-79.414722,3
43.671513,-79.408317,6
43.6783213,-79.35822,1
43.6848652,-79.356602,1
43.68395,-79.347046,1
43.690537,-79.341307,6
43.704461,-79.423122,2
43.659195,-79.329196,16
43.651885,-79.3649,10
43.682645,-79.377557,0
43.6475,-79.43305555555555,8
43.6494896,-79.393535,2
43.671526,-79.44874,1
43.6452972,-79.3827914,11
43.6452091,-79.3960744,15
43.6555556,-79.43361111111112,11
43.678077,-79.390328,1
43.645665,-79.415345,16
43.6493472,-79.42668,4
43.660207,-79.361275,25
43.648655,-79.367061,16
43.648711,-79.389728,24
43.6605603,-79.3437663,13
43.6561111,-79.36138888888888,7
43.652219,-79.354455,24
43.650279,-79.356832,11
43.649147,-79.395504,7
43.643795,-79.375413,33
43.662085,-79.397735,0
43.659575,-79.365769,12
43.65205,-79.362198,17
43.668456,-79.393899,1
43.639052,-79.399792,3
43.6448617,-79.42822,11
43.6409,-79.432837,15
43.660414,-79.415646,6
43.661975,-79.407896,3
43.65905,-79.422988,6
43.66,-79.4088888888889,1
43.690564,-79.326319,5
43.688325,-79.300463,0
43.65716,-79.46478,4
43.6772,-79.35858,5
43.662712,-79.379903,11
43.658938,-79.383518,4
43.683378,-79.322961,4
43.6425636,-79.3762,12
43.6521,-79.4486,3
43.669969,-79.386532,3
43.633473,-79.425679,15
43.630254,-79.420317,10
43.662403,-79.423098,26
43.656945,-79.424911,5
43.6817346,-79.4184725,8
43.683296,-79.418734,0
43.673831,-79.281455,14
43.666325,-79.3014,18
43.651145,-79.423742,10
43.654905,-79.398448,5
43.651118,-79.369411,18
43.6571,-79.4056,2
43.652823,-79.393388,26
43.665527,-79.387499,3
43.6582,-79.3768,16
43.671172,-79.354704,5
43.677076,-79.35667,0
43.680223,-79.344062,1
43.678401,-79.346289,1
43.681991,-79.329455,9
43.6422222,-79.41111111111111,10
43.663808,-79.410491,2
43.6666667,-79.41166666666668,3
43.6638889,-79.41888888888889,2
43.661705,-79.425734,2
43.6686111,-79.42027777777778,0
43.665327,-79.43235,3
43.657343,-79.43112,4
43.645324,-79.40345,22
43.650256,-79.36163,12
43.651111111111106,-79.4213888888889,9
43.656296,-79.414663,11
43.651281,-79.411717,9
43.65277778,-79.42972222,1
43.655,-79.418889,12
43.663912,-79.327987,16
43.6462176,-79.3855048,10
43.69595,-79.328535,12
43.6753188,-79.3462789,1
43.6720273,-79.3470557,9
43.637981,-79.424146,16
43.640885,-79.416379,3
43.6552778,-79.36583333333333,11
43.6712581,-79.376367,4
43.664524,-79.36793,7
43.665867,-79.362506,3
43.648575,-79.380042,17
43.643473,-79.390477,6
43.645859,-79.38783,18
43.640722,-79.391051,10
43.66207,-79.37617,3
43.660206,-79.3244,8
43.668633,-79.291162,15
43.665801,-79.384796,4
43.668153,-79.38891,0
43.657024,-79.377257,4
43.662862,-79.383572,5
43.7063473,-79.40161,0
43.6978701,-79.39419,3
43.696708,-79.40045,0
43.6476616,-79.37549,2
43.6487245,-79.36839,14
43.64852,-79.380576,21
43.656026,-79.385327,2
43.645323,-79.395003,17
43.677778,-79.405556,6
43.641646,-79.375308,21
43.646162,-79.378912,6
43.687323,-79.304848,2
43.668991,-79.379385,5
43.6622222,-79.3825,2
43.64333333333333,-79.40555555555557,10
43.6575,-79.39527777777778,10
43.657424,-79.381019,1
43.64595,-79.378761,13
43.668427,-79.38725,3
43.669604,-79.381171,18
43.661673,-79.337789,12
43.665656,-79.352055,11
43.6308933,-79.4722622,3
43.6224434,-79.480284,29
43.66986,-79.398443,0
43.659471,-79.350325,7
43.650492,-79.450842,0
43.640255,-79.439223,8
43.637922,-79.431734,9
43.643769,-79.447915,6
43.649172,-79.4445087,2
43.663912,-79.416124,2
43.66587,-79.33443,12
43.658816,-79.367318,10
43.654004,-79.444792,2
43.6397,-79.44865,14
43.653809,-79.3595,9
43.673768,-79.391253,0
43.656638,-79.358749,18
43.716652,-79.399993,8
43.684261,-79.299332,3
43.678685,-79.297974,1
43.65143,-79.47779,2
43.64976,-79.48477,2
43.664182,-79.449066,0
43.64407,-79.3929,20
43.61868,-79.48674,10
43.6442,-79.38702,11
43.64283,-79.38409,4
43.65182,-79.47421,0
43.685569,-79.408019,1
43.651678,-79.375233,7
43.651838,-79.378743,4
43.665221,-79.394009,0
43.688148,-79.362101,7
43.669232,-79.374495,8
43.640075,-79.414156,26
43.678285,-79.347346,0
43.697139,-79.31469,1
43.694826,-79.295208,3
43.673118,-79.318651,6
43.689293,-79.295895,1
43.66908,-79.3149,15
43.66073,-79.47149,8
43.66189,-79.42679,5
43.65389,-79.4675,2
43.676697,-79.445029,2
43.68114,-79.4277,0
43.663148,-79.347938,10
43.669813,-79.3335,11
43.633537,-79.437461,10
43.63632,-79.47307,21
43.697819,-79.38786,1
43.638426,-79.429142,6
43.65988,-79.38279,11
43.66842,-79.410585,1
43.66402,-79.46418,0
43.66686,-79.46526,8
43.671278,-79.372127,3
43.635023,-79.399505,21
43.66834,-79.38235,4
43.65263,-79.38766,9
43.70547,-79.40355,0
43.641675,-79.354006,19
43.694341,-79.291416,2
43.64422,-79.36927,17
43.685924,-79.376304,0
43.645215,-79.364898,27
43.646677,-79.442741,4
43.63855,-79.46693,17
43.645599,-79.4657123,5
43.674923,-79.430465,1
43.684758,-79.316767,8
43.66663,-79.38148,25
43.685221,-79.294766,3
43.635492,-79.398253,33
43.63951,-79.383717,16
43.641529,-79.386741,20
43.6417852,-79.4131148,22
43.655766,-79.3802,18
43.680466,-79.432522,5
43.664088,-79.387095,17
43.65917,-79.46997,9
43.671535,-79.379173,10
43.646734,-79.38301,4
43.6662942,-79.4066433,0
43.675278,-79.423889,3
43.648928,-79.378623,4
43.715951,-79.351246,8
43.665645,-79.304711,25
43.645572,-79.39399,18
43.652777,-79.372637,4
43.665538,-79.451263,3
43.650325,-79.372287,23
43.66943,-79.38915,0
43.669244,-79.3894,0
43.683351,-79.41562,4
43.6574766,-79.373446,3
43.636611,-79.400042,18
43.646552,-79.406468,0
43.713524,-79.400162,2
43.65003919999999,-79.3733541,12
43.653264,-79.382458,17
43.663376,-79.392125,0
43.660439,-79.385525,9
43.659226,-79.390213,0
43.65995,-79.38964,1
43.660087,-79.385655,6
43.6146692,-79.4873148,13
43.626265,-79.476723,25
43.63771,-79.458173,17
43.6390437,-79.4760109,21
43.6486599,-79.4376413,3
43.6423847,-79.4240277,11
43.6702236,-79.4360232,1
43.6752732,-79.3778458,6
43.645469,-79.411084,15
43.6882821,-79.4253856,0
43.651603,-79.408346,6
43.670206,-79.402643,0
43.661559,-79.413845,5
43.6560758,-79.393259,5
43.6580442,-79.3927404,2
43.6568254,-79.3966159,5
43.5927419,-79.54033009999999,18
43.597082,-79.522768,4
43.6171635,-79.4971065,1
43.612063,-79.496573,10
43.63732,-79.489083,10
43.5961692,-79.5160575,12
43.613606,-79.4883535,26
43.664665,-79.489385,4
43.665523,-79.484892,12
43.668496,-79.485426,12
43.698841,-79.519472,11
43.658574,-79.487246,1
43.63985,-79.43703,23
43.665076,-79.341509,10
43.6323994,-79.40978179999999,13
43.6935477,-79.3301658,1
43.6438036,-79.4770327,5
43.65246,-79.413528,8
43.6548521,-79.35397680000001,15
43.630874,-79.482407,11
43.6704403,-79.45328549999999,0
43.6535,-79.354068,14
43.6617908,-79.361515,16
43.649709,-79.364184,13
43.666051,-79.374161,15
43.7005976,-79.397345,9
43.7029672,-79.3979073,0
43.68871,-79.39264,0
43.6834703,-79.5108942,7
43.7696262,-79.5025943,10
43.7641485,-79.5012809,9
43.76521,-79.491281,2
43.7724019,-79.4675395,6
43.7781116,-79.467963,5
43.707049,-79.40966,0
43.711751,-79.378615,12
43.732975,-79.40401,7
43.660274,-79.398049,0
43.699281,-79.318802,3
43.696631,-79.297436,18
43.6765897,-79.3163022,13
43.650745,-79.383633,7
43.720233,-79.362092,2
43.6926825,-79.441042,0
43.7041957,-79.4094472,0
43.7078691,-79.39248,1
43.5880774,-79.5432067,15
43.754978,-79.1971289,9
43.6856,-79.3718,1
43.637764,-79.345359,16
43.6629228,-79.4018451,3
43.660296,-79.397107,0
43.7805505,-79.1301203,11
43.7777114,-79.1659711,10
43.779353,-79.193023,7
43.747854,-79.199327,12
43.7561681,-79.2026694,7
43.6002896,-79.5108692,8
43.6615467,-79.498398,15
43.6632257,-79.4397052,2
43.680095,-79.291714,3
43.691468,-79.288619,7
43.645609,-79.380386,33
43.6591666666667,-79.3855555555556,2
43.658777,-79.369596,13
43.6625395,-79.5030161,13
43.7004017,-79.4275305,0
43.77953,-79.45233,7
43.7774374,-79.4447096,5
43.6637403,-79.39806449999999,0
43.707045,-79.375437,4
43.6495789,-79.3762096,13
43.690903,-79.4375028,1
43.643253094827294,-79.41230469904167,5
43.6029904,-79.4926867,10
43.6596299,-79.4799176,2
43.6608333,-79.43166666666667,0
43.66083333333333,-79.43583333333333,0
43.69933,-79.39199,1
43.6653032,-79.4701178,10
43.6162721,-79.4990363,8
43.720645,-79.355474,9
43.6641174,-79.4588522,0
43.6424558,-79.4296346,8
