latitude,longitude,Number of Parks found,Distance to Closest Park
43.6712581,-79.376367,3,97.0
43.664524,-79.36793,4,268.0
43.665867,-79.362506,1,127.0
43.648575,-79.380042,10,52.0
43.643473,-79.390477,10,92.0
43.645859,-79.38783,8,86.0
43.640722,-79.391051,10,140.0
43.66207,-79.37617,8,123.0
43.660206,-79.3244,2,432.0
43.668633,-79.291162,1,355.0
43.665801,-79.384796,10,95.0
43.668153,-79.38891,10,211.0
43.657024,-79.377257,3,206.0
43.662862,-79.383572,10,109.0
43.7063473,-79.40161,4,176.0
43.6978701,-79.39419,5,115.0
43.696708,-79.40045,6,80.0
43.6476616,-79.37549,10,49.0
43.6487245,-79.36839,9,52.0
43.64852,-79.380576,10,28.0
43.656026,-79.385327,4,334.0
43.645323,-79.395003,5,137.0
43.677778,-79.405556,6,79.0
43.641646,-79.375308,8,37.0
43.646162,-79.378912,10,188.0
43.687323,-79.304848,5,135.0
43.668991,-79.379385,7,112.0
43.6622222,-79.3825,10,118.0
43.64333333333333,-79.40555555555557,7,146.0
43.6575,-79.39527777777778,3,157.0
43.657424,-79.381019,8,190.0
43.64595,-79.378761,10,162.0
43.668427,-79.38725,10,188.0
43.669604,-79.381171,10,163.0
43.661673,-79.337789,8,194.0
43.665656,-79.352055,4,205.0
43.6308933,-79.4722622,3,184.0
43.6224434,-79.480284,3,152.0
43.66986,-79.398443,7,14.0
43.659471,-79.350325,7,41.0
43.650492,-79.450842,4,206.0
43.640255,-79.439223,3,237.0
43.637922,-79.431734,5,169.0
43.643769,-79.447915,2,125.0
43.649172,-79.4445087,9,120.0
43.663912,-79.416124,7,350.0
43.66587,-79.33443,7,202.0
43.658816,-79.367318,4,202.0
43.654004,-79.444792,6,254.0
43.6397,-79.44865,5,216.0
43.653809,-79.3595,7,226.0
43.673768,-79.391253,8,139.0
43.656638,-79.358749,9,194.0
43.716652,-79.399993,2,428.0
43.684261,-79.299332,7,125.0
43.678685,-79.297974,2,259.0
43.65143,-79.47779,2,73.0
43.64976,-79.48477,2,333.0
43.664182,-79.449066,4,76.0
43.64407,-79.3929,6,108.0
43.61868,-79.48674,3,216.0
43.6442,-79.38702,9,61.0
43.64283,-79.38409,10,9.0
43.65182,-79.47421,2,218.0
43.685569,-79.408019,3,253.0
43.651678,-79.375233,10,8.0
43.651838,-79.378743,10,125.0
43.665221,-79.394009,6,84.0
43.688148,-79.362101,2,441.0
43.669232,-79.374495,5,176.0
43.640075,-79.414156,8,127.0
43.678285,-79.347346,6,64.0
43.697139,-79.31469,3,81.0
43.694826,-79.295208,3,225.0
43.673118,-79.318651,3,271.0
43.689293,-79.295895,4,314.0
43.66908,-79.3149,6,105.0
43.66073,-79.47149,2,102.0
43.66189,-79.42679,4,118.0
43.65389,-79.4675,4,25.0
43.676697,-79.445029,0,
43.68114,-79.4277,3,195.0
43.663148,-79.347938,6,60.0
43.669813,-79.3335,4,378.0
43.633537,-79.437461,1,413.0
43.63632,-79.47307,3,241.0
43.697819,-79.38786,3,256.0
43.638426,-79.429142,6,148.0
43.65988,-79.38279,7,92.0
43.66842,-79.410585,10,37.0
43.66402,-79.46418,2,218.0
43.66686,-79.46526,3,400.0
43.671278,-79.372127,4,98.0
43.635023,-79.399505,10,84.0
43.66834,-79.38235,9,160.0
43.65263,-79.38766,7,203.0
43.70547,-79.40355,4,160.0
43.641675,-79.354006,1,80.0
43.694341,-79.291416,3,53.0
43.64422,-79.36927,4,193.0
43.685924,-79.376304,3,452.0
43.645215,-79.364898,6,25.0
43.646677,-79.442741,6,115.0
43.63855,-79.46693,3,279.0
43.645599,-79.4657123,2,204.0
43.674923,-79.430465,5,115.0
43.684758,-79.316767,3,154.0
43.66663,-79.38148,10,43.0
43.685221,-79.294766,2,229.0
43.635492,-79.398253,10,71.0
43.63951,-79.383717,9,60.0
43.641529,-79.386741,10,37.0
43.6417852,-79.4131148,10,16.0
43.655766,-79.3802,6,203.0
43.680466,-79.432522,3,229.0
43.664088,-79.387095,10,110.0
43.65917,-79.46997,1,297.0
